update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,entropy,value,policy_loss,value_loss,grad_norm,Games,Strat,return_mean,return_std,return_min,return_max
489,2503680,1645.2202734970654,1556,0.11464941576123237,0.2435850602952039,0.0,0.9047265648841858,1.9456947326660157,-0.006921966420486569,-0.0012734409421682358,3.7622686363647516e-06,0.0005856011,0,0.0,0.11464941576123237,0.2435850602952039,0.0,0.9047265648841858
490,2508800,1638.775711136777,1559,0.11464941576123237,0.2435850602952039,0.0,0.9047265648841858,1.9425614595413208,-0.002587853479781188,-0.003218551492318511,0.00023683161634835415,0.005101154,0,0.0,0.11464941576123237,0.2435850602952039,0.0,0.9047265648841858
491,2513920,1648.9884908557422,1563,0.12685254141688346,0.249626556692675,0.0,0.9047265648841858,1.9422766506671905,0.011371175316162408,0.000926539467764087,4.432363093656022e-05,0.0018928794,5,0.0,0.12685254141688346,0.249626556692675,0.0,0.9047265648841858
492,2519040,1641.533481422821,1566,0.12685254141688346,0.249626556692675,0.0,0.9047265648841858,1.9442889750003816,-0.002858256222680211,-0.0017559142055688427,0.0001548672602439183,0.0029860009,2,0.0,0.12685254141688346,0.249626556692675,0.0,0.9047265648841858
493,2524160,1636.4544380563177,1569,0.12685254141688346,0.249626556692675,0.0,0.9047265648841858,1.9395737171173095,0.01874186620116234,0.002761581196682528,8.384349875996122e-05,0.0031192938,2,0.0,0.12685254141688346,0.249626556692675,0.0,0.9047265648841858
494,2529280,1636.942547643204,1572,0.12685254141688346,0.249626556692675,0.0,0.9047265648841858,1.9433025896549225,0.004915770026855171,0.0010168879451157408,1.4985298821557081e-05,0.0015904239,1,0.0,0.12685254141688346,0.249626556692675,0.0,0.9047265648841858
495,2534400,1636.2472074057227,1575,0.12454980686306953,0.24876925777859063,0.0,0.9047265648841858,1.9443762719631195,-0.0013230745069449767,0.0003788828929828014,1.1453966283170303e-05,0.0017265299,3,0.0,0.12454980686306953,0.24876925777859063,0.0,0.9047265648841858
496,2539520,1634.6360419934535,1578,0.10648437663912773,0.23022920051564005,0.0,0.9047265648841858,1.9458305478096007,-0.0012565286946482957,-0.0002890472947910894,2.9050234843452928e-06,0.00032849135,1,0.0,0.10648437663912773,0.23022920051564005,0.0,0.9047265648841858
497,2544640,1635.061068377975,1581,0.10648437663912773,0.23022920051564005,0.0,0.9047265648841858,1.9458389401435852,-0.0027545447810553014,-0.0003994421553215943,3.5568568819144275e-06,0.00036265835,4,0.0,0.10648437663912773,0.23022920051564005,0.0,0.9047265648841858
498,2549760,1589.3782452982541,1585,0.10648437663912773,0.23022920051564005,0.0,0.9047265648841858,1.9447435677051543,-0.0007321940880501643,-0.0010560386290308088,3.242712284645677e-05,0.0013103839,1,0.0,0.10648437663912773,0.23022920051564005,0.0,0.9047265648841858
499,2554880,1037.886378438632,1590,0.0964785173535347,0.22590177981997966,0.0,0.9047265648841858,1.9416183650493621,0.009305741894058884,0.0002264083032059716,9.970876853913069e-05,0.0025827463,4,0.0,0.0964785173535347,0.22590177981997966,0.0,0.9047265648841858
500,2560000,1619.5745709093985,1593,0.08449902534484863,0.193037905592752,0.0,0.6392968893051147,1.938611251115799,0.011506988084875047,0.0008492731794831343,7.021679293757188e-05,0.0022172085,6,0.0,0.08449902534484863,0.193037905592752,0.0,0.6392968893051147
501,2565120,1637.2650367642182,1596,0.10505176037549972,0.22419732962611374,0.0,0.8221094012260437,1.9387798130512237,0.012337353499606251,-0.0005200520547987253,0.00020014785577586735,0.0031717632,2,0.0,0.10505176037549972,0.22419732962611374,0.0,0.8221094012260437
502,2570240,1620.1594852629246,1599,0.10505176037549972,0.22419732962611372,0.0,0.8221094012260437,1.939911311864853,0.005196174851153046,-0.000907640809964505,0.00013751072528975783,0.0020038565,1,0.0,0.10505176037549972,0.22419732962611372,0.0,0.8221094012260437
503,2575360,1629.3219548765048,1602,0.0972343772649765,0.2287935460404964,0.0,0.8221094012260437,1.9431243121623993,0.001378263441438321,0.00018230171344839617,7.769925525735744e-06,0.0007391613,4,0.0,0.0972343772649765,0.2287935460404964,0.0,0.8221094012260437
504,2580480,1624.3356514928987,1605,0.0972343772649765,0.2287935460404964,0.0,0.8221094012260437,1.944602507352829,0.0026950897939968855,0.0002746736249719106,7.244596719147012e-06,0.0007013163,0,0.0,0.0972343772649765,0.2287935460404964,0.0,0.8221094012260437
505,2585600,1642.6946026572614,1608,0.0972343772649765,0.2287935460404964,0.0,0.8221094012260437,1.9448480665683747,0.003500506724230945,0.0002720739244523429,1.6477699159622716e-05,0.00082490465,1,0.0,0.0972343772649765,0.2287935460404964,0.0,0.8221094012260437
506,2590720,1642.4970949186986,1612,0.08721093833446503,0.22720069228235468,0.0,0.8221094012260437,1.942781114578247,0.004894173325010342,-0.0007964155898662284,0.0003166413784128963,0.0032430687,4,0.0,0.08721093833446503,0.22720069228235468,0.0,0.8221094012260437
507,2595840,1642.545085433264,1615,0.08721093833446503,0.22720069228235468,0.0,0.8221094012260437,1.9432655572891235,0.005493013910017908,0.0006843549281711602,5.51355772131501e-05,0.0019155374,0,0.0,0.08721093833446503,0.22720069228235468,0.0,0.8221094012260437
508,2600960,1615.0517865880265,1618,0.11837597750127316,0.264785594209341,0.0,0.9177343845367432,1.939233911037445,0.00932526309043169,-0.0027539428847376257,0.0006417711004360171,0.005023958,5,0.0,0.11837597750127316,0.264785594209341,0.0,0.9177343845367432
509,2606080,1625.1534716569563,1621,0.11837597750127316,0.264785594209341,0.0,0.9177343845367432,1.9456044673919677,-0.001451807531702798,-0.0009261944534955547,3.2822187267811384e-05,0.00103292,0,0.0,0.11837597750127316,0.264785594209341,0.0,0.9177343845367432
